creat_at,valTem,valCO2,valSon,valHum,ambiente
2025-09-26 01:31:00,20,1126,76,51,óptimo
2025-09-26 01:32:00,14,1329,102,48,crítico
2025-09-26 01:33:00,18,1597,72,47,aceptable
2025-09-26 01:41:00,18,1284,84,73,aceptable
2025-09-26 01:42:00,33,1084,79,52,aceptable
2025-09-26 01:43:00,18,1190,88,58,aceptable
2025-09-26 01:44:00,31,942,68,52,aceptable
2025-09-26 01:45:00,23,1446,65,58,aceptable
2025-09-26 01:46:00,15,1638,58,66,crítico
2025-09-26 01:47:00,13,907,90,67,crítico
2025-09-26 01:48:00,30,1496,99,68,crítico
2025-09-26 01:49:00,19,990,98,64,aceptable
2025-09-26 01:50:00,24,984,63,58,óptimo
2025-09-26 01:51:00,19,1288,89,54,aceptable
2025-09-26 01:52:00,32,1314,84,53,crítico
2025-09-26 01:53:00,32,1505,86,61,crítico
2025-09-26 01:54:00,29,1149,102,63,crítico
2025-09-26 02:01:00,21,1446,92,60,aceptable
2025-09-26 02:02:00,10,1449,63,54,aceptable
2025-09-26 02:03:00,26,944,91,54,aceptable
2025-09-26 02:04:00,25,1490,77,64,crítico
2025-09-26 02:05:00,22,985,80,59,óptimo
2025-09-26 02:06:00,32,1126,88,73,crítico
2025-09-26 02:07:00,37,1288,99,49,crítico
2025-09-26 02:08:00,30,1301,64,58,aceptable
2025-09-26 02:09:00,14,1190,74,79,crítico
2025-09-26 02:10:00,20,1120,96,56,aceptable
2025-09-26 02:11:00,12,1374,77,45,crítico
2025-09-26 02:12:00,26,1138,68,66,aceptable
2025-09-26 02:13:00,14,1229,96,56,crítico
2025-09-26 02:14:00,17,1409,73,54,crítico
2025-09-26 02:20:00,1,802,77,64,crítico
2025-09-26 02:23:00,20,1075,65,62,óptimo
2025-09-26 02:24:00,28,1156,91,57,crítico
2025-09-26 02:25:00,16,1376,85,48,crítico
2025-09-26 02:26:00,22,1214,84,64,aceptable
2025-09-26 02:27:00,24,981,79,53,aceptable
2025-09-26 02:28:00,28,1069,101,56,crítico
2025-09-26 02:29:00,34,972,81,65,crítico
2025-09-26 02:30:00,23,1026,87,75,crítico
2025-09-26 02:31:00,33,1073,103,64,crítico
2025-09-26 02:32:00,38,1252,67,64,crítico
2025-09-26 02:33:00,32,1030,94,61,crítico
2025-09-26 02:34:00,22,1161,87,57,aceptable
2025-09-26 02:35:00,27,1361,81,60,crítico
2025-09-26 02:36:00,18,1217,90,62,crítico
2025-09-26 02:37:00,18,1089,78,68,aceptable
2025-09-26 02:45:00,17,928,100,66,crítico
2025-09-26 02:46:00,26,1062,63,47,óptimo
2025-09-26 02:47:00,24,1078,100,58,aceptable
2025-09-26 02:48:00,24,1002,93,66,crítico
2025-09-26 02:49:00,7,1393,114,57,crítico
2025-09-26 02:50:00,34,1222,93,65,crítico
2025-09-26 02:51:00,26,855,72,65,aceptable
2025-09-26 02:52:00,25,1308,60,53,aceptable
2025-09-26 02:53:00,19,1016,88,58,aceptable
2025-09-26 02:54:00,20,1186,81,50,óptimo
2025-09-26 02:55:00,17,925,67,44,aceptable
2025-09-26 02:56:00,33,948,80,79,crítico
2025-09-26 02:57:00,28,1018,91,51,crítico
2025-09-26 02:58:00,35,935,99,60,crítico
2025-09-26 02:59:00,31,795,89,63,crítico
2025-09-26 03:00:00,29,1440,86,45,crítico
2025-09-26 03:09:00,14,1284,85,63,crítico
2025-09-26 03:10:00,31,1779,86,62,crítico
2025-09-26 03:11:00,18,1190,73,70,aceptable
2025-09-26 03:12:00,6,1274,92,55,crítico
2025-09-26 03:13:00,20,1134,94,58,aceptable
2025-09-26 03:14:00,32,1124,90,67,crítico
2025-09-26 03:15:00,19,1590,78,46,aceptable
2025-09-26 03:16:00,14,897,116,76,crítico
2025-09-26 03:17:00,22,1540,86,73,crítico
2025-09-26 03:18:00,30,938,83,51,aceptable
2025-09-26 03:19:00,14,1161,67,50,aceptable
2025-09-26 03:20:00,17,1001,91,61,crítico
2025-09-26 03:21:00,22,961,85,48,óptimo
2025-09-26 03:22:00,35,1634,80,45,crítico
2025-09-26 03:23:00,12,1228,110,56,crítico
2025-09-26 03:32:00,7,1668,78,74,crítico
2025-09-26 03:33:00,15,1077,93,64,crítico
2025-09-26 03:34:00,30,984,66,76,aceptable
2025-09-26 03:35:00,34,1015,93,51,crítico
2025-09-26 03:36:00,20,1165,94,72,aceptable
2025-09-26 03:37:00,30,1109,100,54,crítico
2025-09-26 03:38:00,26,913,74,49,aceptable
2025-09-26 03:39:00,13,1306,98,62,crítico
2025-09-26 03:40:00,12,1154,70,54,aceptable
2025-09-26 03:41:00,22,1316,115,50,aceptable
2025-09-26 03:42:00,28,1200,63,59,aceptable
2025-09-26 03:43:00,26,1417,94,64,crítico
2025-09-26 03:44:00,38,1021,88,59,crítico
2025-09-26 03:45:00,23,1039,90,72,crítico
2025-09-26 03:46:00,24,958,108,58,aceptable
2025-09-26 03:47:00,20,840,76,50,óptimo
2025-09-26 03:55:00,28,1134,95,51,crítico
2025-09-26 03:56:00,28,1415,94,55,crítico
2025-09-26 03:57:00,27,1384,74,44,crítico
2025-09-26 03:58:00,22,986,83,53,óptimo
2025-09-26 03:59:00,14,1176,93,71,crítico
2025-09-26 04:00:00,23,1050,87,62,crítico
2025-09-26 04:01:00,19,961,101,64,aceptable
2025-09-26 04:02:00,24,1175,94,52,aceptable
2025-09-26 04:03:00,22,728,87,72,aceptable
2025-09-26 04:04:00,28,1243,98,54,crítico
2025-09-26 04:05:00,22,1239,92,66,crítico
2025-09-26 04:06:00,27,1166,83,52,aceptable
2025-09-26 04:07:00,21,1177,84,61,aceptable
2025-09-26 04:08:00,34,1357,57,66,crítico
2025-09-26 04:09:00,43,1115,91,52,crítico
2025-09-26 04:10:00,22,1476,83,64,aceptable
2025-09-26 04:20:00,19,1146,80,55,óptimo
2025-09-26 04:21:00,37,1355,64,73,crítico
2025-09-26 04:22:00,29,821,95,32,crítico
2025-09-26 04:23:00,31,783,90,45,aceptable
2025-09-26 04:24:00,22,1205,76,64,aceptable
2025-09-26 04:25:00,22,1661,70,50,óptimo
2025-09-26 04:26:00,26,1035,66,52,óptimo
2025-09-26 04:27:00,38,1259,71,58,crítico
2025-09-26 04:28:00,28,941,81,54,aceptable
2025-09-26 04:29:00,27,977,76,68,crítico
2025-09-26 04:30:00,9,1080,82,64,crítico
2025-09-26 04:31:00,17,1321,85,46,crítico
2025-09-26 04:32:00,22,1408,96,62,crítico
2025-09-26 04:33:00,18,1064,97,75,aceptable
2025-09-26 04:34:00,24,1209,83,54,aceptable
2025-09-26 04:44:00,34,1012,110,65,crítico
2025-09-26 04:45:00,36,1132,86,68,crítico
2025-09-26 04:46:00,13,1316,88,64,crítico
2025-09-26 04:47:00,14,852,105,66,crítico
2025-09-26 04:48:00,18,616,80,60,óptimo
2025-09-26 04:49:00,26,960,89,56,aceptable
2025-09-26 04:50:00,22,1348,72,52,aceptable
2025-09-26 04:51:00,16,1232,79,70,crítico
2025-09-26 04:52:00,21,1121,90,60,aceptable
2025-09-26 04:53:00,20,844,87,44,aceptable
2025-09-26 04:54:00,24,1018,78,60,aceptable
2025-09-26 04:55:00,21,1385,84,62,aceptable
2025-09-26 04:56:00,20,1268,95,58,aceptable
2025-09-26 04:57:00,32,1355,103,54,crítico
2025-09-26 04:58:00,33,888,73,59,aceptable
2025-09-26 05:08:00,21,796,63,54,óptimo
2025-09-26 05:09:00,33,1533,98,70,crítico
2025-09-26 05:10:00,14,1086,70,77,aceptable
2025-09-26 05:11:00,36,1010,70,58,aceptable
2025-09-26 05:12:00,34,1630,98,51,crítico
2025-09-26 05:13:00,27,1180,79,60,aceptable
2025-09-26 05:14:00,36,1260,63,57,aceptable
2025-09-26 05:15:00,20,1075,96,60,aceptable
2025-09-26 05:16:00,8,1202,104,60,crítico
2025-09-26 05:17:00,21,980,97,44,aceptable
2025-09-26 05:18:00,21,735,84,63,óptimo
2025-09-26 05:19:00,21,1364,73,47,aceptable
2025-09-26 05:20:00,21,1088,82,65,aceptable
2025-09-26 05:21:00,39,1372,99,66,crítico
2025-09-26 05:22:00,5,1388,83,63,crítico
2025-09-26 05:23:00,22,979,54,77,óptimo
2025-09-26 05:33:00,38,1312,76,52,crítico
2025-09-26 05:34:00,24,1143,102,61,crítico
2025-09-26 05:35:00,20,1244,108,58,aceptable
2025-09-26 05:36:00,18,903,98,58,aceptable
2025-09-26 05:37:00,35,1070,78,68,crítico
2025-09-26 05:38:00,23,1179,108,73,crítico
2025-09-26 05:39:00,30,1117,72,57,aceptable
2025-09-26 05:40:00,31,1365,63,54,aceptable
2025-09-26 05:41:00,31,1199,106,53,crítico
2025-09-26 05:42:00,29,656,68,75,aceptable
2025-09-26 05:43:00,32,1422,96,52,crítico
2025-09-26 05:44:00,16,1149,92,56,crítico
2025-09-26 05:45:00,39,1331,84,74,crítico
2025-09-26 05:46:00,29,1165,69,65,aceptable
2025-09-26 05:47:00,32,1188,94,54,crítico
2025-09-26 05:57:00,26,1027,76,71,aceptable
2025-09-26 05:58:00,16,1338,76,64,crítico
2025-09-26 05:59:00,19,1276,72,57,aceptable
2025-09-26 06:00:00,22,1218,94,64,crítico
2025-09-26 06:01:00,20,1580,78,44,aceptable
2025-09-26 06:02:00,33,1600,71,64,crítico
2025-09-26 06:03:00,28,1400,79,56,crítico
2025-09-26 06:04:00,23,1048,95,38,crítico
2025-09-26 06:05:00,20,1434,78,68,aceptable
2025-09-26 06:06:00,13,1486,86,41,crítico
2025-09-26 06:07:00,18,1038,88,70,aceptable
2025-09-26 06:08:00,17,1604,78,58,crítico
2025-09-26 06:09:00,23,1242,92,72,crítico
2025-09-26 06:10:00,30,1148,78,58,aceptable
2025-09-26 06:11:00,26,886,92,70,crítico
2025-09-26 06:12:00,33,1140,88,50,crítico
2025-09-26 06:21:00,24,1333,76,62,crítico
2025-09-26 06:22:00,31,1152,73,54,aceptable
2025-09-26 06:23:00,29,1680,77,66,crítico
2025-09-26 06:24:00,30,1457,86,59,crítico
2025-09-26 06:25:00,14,1482,66,54,aceptable
2025-09-26 06:26:00,16,1423,74,68,crítico
2025-09-26 06:27:00,26,1008,111,70,crítico
2025-09-26 06:28:00,15,875,72,58,aceptable
2025-09-26 06:29:00,19,966,75,70,aceptable
2025-09-26 06:30:00,22,1113,82,64,aceptable
2025-09-26 06:31:00,28,1302,92,49,crítico
2025-09-26 06:32:00,21,1500,89,71,crítico
2025-09-26 06:33:00,22,1256,62,49,óptimo
2025-09-26 06:34:00,17,1478,86,53,crítico
2025-09-26 06:35:00,15,1162,103,68,crítico
2025-09-26 06:36:00,27,1289,76,68,crítico
2025-09-26 06:46:00,44,1278,79,53,crítico
2025-09-26 06:47:00,41,1013,88,47,crítico
2025-09-26 06:48:00,30,842,84,44,aceptable
2025-09-26 06:49:00,34,944,94,81,crítico
2025-09-26 06:50:00,30,946,90,65,crítico
2025-09-26 06:51:00,26,1106,116,57,aceptable
2025-09-26 06:52:00,24,1014,82,68,aceptable
2025-09-26 06:53:00,21,1267,98,64,crítico
2025-09-26 06:54:00,33,1093,98,55,crítico
2025-09-26 06:55:00,19,806,96,63,aceptable
2025-09-26 06:56:00,14,1334,108,57,crítico
2025-09-26 06:57:00,20,1430,72,66,aceptable
2025-09-26 06:58:00,18,1425,85,54,aceptable
2025-09-26 06:59:00,19,1085,92,62,aceptable
2025-09-26 07:00:00,35,1661,68,57,aceptable
2025-09-26 07:10:00,21,1206,90,61,crítico
2025-09-26 07:11:00,22,1275,99,62,crítico
2025-09-26 07:12:00,30,1471,76,66,crítico
2025-09-26 07:13:00,32,1189,90,66,crítico
2025-09-26 07:14:00,20,1062,78,66,aceptable
2025-09-26 07:15:00,22,1398,89,74,crítico
2025-09-26 07:16:00,15,1271,116,54,crítico
2025-09-26 07:17:00,17,1150,98,61,crítico
2025-09-26 07:18:00,14,1193,105,48,crítico
2025-09-26 07:19:00,23,1276,74,70,crítico
2025-09-26 07:20:00,41,1854,83,53,crítico
2025-09-26 07:21:00,27,952,107,49,crítico
2025-09-26 07:22:00,37,1161,78,43,aceptable
2025-09-26 07:23:00,24,1748,97,53,crítico
2025-09-26 07:24:00,28,1442,97,74,crítico
2025-09-26 07:25:00,11,1095,106,58,crítico
2025-09-26 07:34:00,28,1238,84,58,crítico
2025-09-26 07:35:00,42,1174,88,66,crítico
2025-09-26 07:36:00,27,770,87,60,aceptable
2025-09-26 07:37:00,19,1285,84,68,aceptable
2025-09-26 07:38:00,25,1733,87,48,crítico
2025-09-26 07:39:00,22,1216,68,49,óptimo
2025-09-26 07:40:00,29,837,89,68,crítico
2025-09-26 07:41:00,35,1264,80,65,crítico
2025-09-26 07:42:00,28,1546,74,42,crítico
2025-09-26 07:43:00,40,1269,101,60,crítico
2025-09-26 07:44:00,19,1411,76,69,aceptable
2025-09-26 07:45:00,35,993,66,52,aceptable
2025-09-26 07:46:00,27,1006,98,46,crítico
2025-09-26 07:47:00,20,1193,102,37,aceptable
2025-09-26 07:48:00,16,849,110,57,crítico
2025-09-26 07:49:00,26,1065,76,48,aceptable
2025-09-26 07:59:00,30,1210,79,61,crítico
2025-09-26 08:00:00,30,996,70,52,aceptable
2025-09-26 08:01:00,22,1263,68,54,óptimo
2025-09-26 08:02:00,28,1507,90,58,crítico
2025-09-26 08:03:00,25,1538,81,58,aceptable
2025-09-26 08:04:00,40,1319,81,50,crítico
2025-09-26 08:05:00,34,1166,92,42,crítico
2025-09-26 08:06:00,24,981,80,64,aceptable
2025-09-26 08:07:00,22,1163,56,66,óptimo
2025-09-26 08:08:00,32,1060,98,55,crítico
2025-09-26 08:09:00,31,1298,103,66,crítico
2025-09-26 08:10:00,28,993,90,60,crítico
2025-09-26 08:11:00,10,1004,74,45,aceptable
2025-09-26 08:12:00,21,1033,78,71,aceptable
2025-09-26 08:13:00,33,1629,78,60,crítico
2025-09-26 08:23:00,16,1319,88,47,crítico
2025-09-26 08:24:00,31,1019,72,76,crítico
2025-09-26 08:25:00,22,1346,85,53,aceptable
2025-09-26 08:26:00,20,1116,102,54,aceptable
2025-09-26 08:27:00,31,1326,99,67,crítico
2025-09-26 08:28:00,22,1692,56,50,óptimo
2025-09-26 08:29:00,24,1084,66,57,óptimo
2025-09-26 08:30:00,20,1085,82,46,óptimo
2025-09-26 08:31:00,39,1429,87,53,crítico
2025-09-26 08:32:00,28,1420,96,53,crítico
2025-09-26 08:33:00,33,1100,74,56,aceptable
2025-09-26 08:34:00,31,1101,119,62,crítico
2025-09-26 08:35:00,14,1396,82,78,crítico
2025-09-26 08:36:00,27,1407,88,55,crítico
2025-09-26 08:37:00,25,1273,86,42,crítico
2025-09-26 08:38:00,29,745,50,44,óptimo
2025-09-26 08:47:00,28,1220,54,63,crítico
2025-09-26 08:48:00,22,1215,76,53,aceptable
2025-09-26 08:49:00,17,1110,77,54,aceptable
2025-09-26 08:50:00,23,1296,96,73,crítico
2025-09-26 08:51:00,24,1326,93,51,crítico
2025-09-26 08:52:00,15,1057,90,61,crítico
2025-09-26 08:53:00,42,1460,87,44,crítico
2025-09-26 08:54:00,35,1224,70,52,aceptable
2025-09-26 08:55:00,20,1302,97,51,aceptable
2025-09-26 08:56:00,12,1102,78,68,crítico
2025-09-26 08:57:00,23,1378,62,54,aceptable
2025-09-26 08:58:00,36,1050,104,66,crítico
2025-09-26 08:59:00,20,1209,83,47,aceptable
2025-09-26 09:00:00,30,1781,92,63,crítico
2025-09-26 09:01:00,4,1071,66,68,aceptable
2025-09-26 09:02:00,17,1308,60,60,aceptable
2025-09-26 09:12:00,31,1319,84,78,crítico
2025-09-26 09:13:00,26,1556,81,41,aceptable
2025-09-26 09:14:00,29,1202,115,62,crítico
2025-09-26 09:15:00,8,1280,98,66,crítico
2025-09-26 09:16:00,24,1050,91,72,crítico
2025-09-26 09:17:00,23,1134,85,66,aceptable
2025-09-26 09:18:00,31,1004,69,63,aceptable
2025-09-26 09:19:00,25,960,91,51,aceptable
2025-09-26 09:20:00,19,1332,86,76,crítico
2025-09-26 09:21:00,18,1090,64,63,óptimo
2025-09-26 09:22:00,38,1312,90,76,crítico
2025-09-26 09:23:00,26,1261,88,49,crítico
2025-09-26 09:24:00,22,1082,74,58,óptimo
2025-09-26 09:25:00,21,930,68,45,óptimo
2025-09-26 09:26:00,22,1280,98,63,crítico
2025-09-26 09:27:00,10,1610,83,50,crítico
2025-09-26 09:36:00,22,1549,88,49,aceptable
2025-09-26 09:37:00,17,1380,81,65,crítico
2025-09-26 09:38:00,18,1082,87,70,aceptable
2025-09-26 09:39:00,18,958,103,62,aceptable
2025-09-26 09:40:00,26,1092,96,48,aceptable
2025-09-26 09:41:00,17,1008,78,54,aceptable
2025-09-26 09:42:00,30,892,98,61,crítico
2025-09-26 09:43:00,35,1471,91,46,crítico
2025-09-26 09:44:00,22,1211,88,54,aceptable
2025-09-26 09:45:00,15,1210,102,71,crítico
2025-09-26 09:46:00,34,1298,100,68,crítico
2025-09-26 09:47:00,22,1068,84,69,aceptable
2025-09-26 09:48:00,37,1002,84,68,crítico
2025-09-26 09:49:00,33,1122,74,52,aceptable
2025-09-26 09:50:00,19,835,81,72,aceptable
2025-09-26 09:51:00,18,1276,97,49,aceptable
2025-09-26 10:01:00,30,1294,91,62,crítico
2025-09-26 10:02:00,24,1361,91,54,crítico
2025-09-26 10:03:00,17,1380,72,47,crítico
2025-09-26 10:04:00,19,1038,81,49,óptimo
2025-09-26 10:05:00,22,1346,84,71,aceptable
2025-09-26 10:06:00,14,1260,80,40,crítico
2025-09-26 10:07:00,21,999,100,54,aceptable
2025-09-26 10:08:00,34,1468,67,55,aceptable
2025-09-26 10:09:00,19,1519,79,67,aceptable
2025-09-26 10:10:00,35,1093,92,51,crítico
2025-09-26 10:11:00,26,1540,69,68,aceptable
2025-09-26 10:12:00,26,996,104,50,aceptable
